"SQINC1 State quarterly personal income summary: personal income, population, per capita personal income"
"SQINC1 State quarterly personal income summary: personal income, population, per capita personal income"
State or DC
GeoFips,GeoName,LineCode,Description,2024:Q1,2024:Q2,2024:Q3,2024:Q4
00000,United States,1,"Personal income (millions of dollars, seasonally adjusted)",24318722.3,24548487.4,24690859.0,25016500.5
00000,United States,2,"Population (midperiod, persons) 1",338875934,339684489,340391641,340918984
00000,United States,3,Per capita personal income (dollars) 2,71763,72268,72537,73380
01000,Alabama,1,"Personal income (millions of dollars, seasonally adjusted)",287602.2,290627.3,293732.1,296819.9
01000,Alabama,2,"Population (midperiod, persons) 1",5142614,5152438,5162130,5170271
01000,Alabama,3,Per capita personal income (dollars) 2,55925,56406,56901,57409
02000,Alaska *,1,"Personal income (millions of dollars, seasonally adjusted)",55118.3,55294.8,55856.5,56518.0
02000,Alaska *,2,"Population (midperiod, persons) 1",738749,739649,740387,740855
02000,Alaska *,3,Per capita personal income (dollars) 2,74610,74758,75442,76288
04000,Arizona,1,"Personal income (millions of dollars, seasonally adjusted)",484791.3,488467.7,489808.6,500039.9
04000,Arizona,2,"Population (midperiod, persons) 1",7541965,7568567,7593139,7613732
04000,Arizona,3,Per capita personal income (dollars) 2,64279,64539,64507,65676
05000,Arkansas,1,"Personal income (millions of dollars, seasonally adjusted)",181361.3,182645.7,185653.5,188410.8
05000,Arkansas,2,"Population (midperiod, persons) 1",3081226,3085861,3090597,3094653
05000,Arkansas,3,Per capita personal income (dollars) 2,58860,59188,60070,60883
06000,California,1,"Personal income (millions of dollars, seasonally adjusted)",3317643.9,3354379.9,3384949.7,3446846.5
06000,California,2,"Population (midperiod, persons) 1",39346851,39401411,39441203,39458158
06000,California,3,Per capita personal income (dollars) 2,84318,85133,85823,87354
08000,Colorado,1,"Personal income (millions of dollars, seasonally adjusted)",487302.1,492873.8,492500.4,499034.8
08000,Colorado,2,"Population (midperiod, persons) 1",5936272,5950154,5962771,5972763
08000,Colorado,3,Per capita personal income (dollars) 2,82089,82834,82596,83552
09000,Connecticut,1,"Personal income (millions of dollars, seasonally adjusted)",338787.9,341480.6,343514.4,347988.4
09000,Connecticut,2,"Population (midperiod, persons) 1",3663142,3670919,3677308,3681408
09000,Connecticut,3,Per capita personal income (dollars) 2,92486,93023,93415,94526
10000,Delaware,1,"Personal income (millions of dollars, seasonally adjusted)",71529.9,72871.0,73102.7,74023.7
10000,Delaware,2,"Population (midperiod, persons) 1",1046173,1049957,1053586,1056787
10000,Delaware,3,Per capita personal income (dollars) 2,68373,69404,69385,70046
11000,District of Columbia,1,"Personal income (millions of dollars, seasonally adjusted)",75204.8,76081.9,76005.7,77730.7
11000,District of Columbia,2,"Population (midperiod, persons) 1",696589,700335,703316,705475
11000,District of Columbia,3,Per capita personal income (dollars) 2,107962,108636,108068,110182
12000,Florida,1,"Personal income (millions of dollars, seasonally adjusted)",1625770.4,1635550.0,1650362.8,1673611.8
12000,Florida,2,"Population (midperiod, persons) 1",23199109,23313278,23410787,23486014
12000,Florida,3,Per capita personal income (dollars) 2,70079,70155,70496,71260
13000,Georgia,1,"Personal income (millions of dollars, seasonally adjusted)",689625.9,694566.2,698120.8,709974.0
13000,Georgia,2,"Population (midperiod, persons) 1",11137136,11165856,11192845,11215521
13000,Georgia,3,Per capita personal income (dollars) 2,61921,62204,62372,63303
15000,Hawaii *,1,"Personal income (millions of dollars, seasonally adjusted)",98631.1,99954.8,100947.3,101444.7
15000,Hawaii *,2,"Population (midperiod, persons) 1",1444442,1445511,1446141,1446041
15000,Hawaii *,3,Per capita personal income (dollars) 2,68283,69148,69805,70153
16000,Idaho,1,"Personal income (millions of dollars, seasonally adjusted)",121282.4,123520.2,124594.3,127077.7
16000,Idaho,2,"Population (midperiod, persons) 1",1990118,1997694,2005178,2012096
16000,Idaho,3,Per capita personal income (dollars) 2,60942,61831,62136,63157
17000,Illinois,1,"Personal income (millions of dollars, seasonally adjusted)",934489.9,939676.7,944132.5,955068.0
